English,Tovian,IPA,Roots
???,???, / ??? / ,_

action,lor, / lˈor / ,_

adventure,thim, / θˈim / ,going + unknown

air,rith, / rˈiθ / ,_

alertness,shith, / ʃˈiθ / ,_

ancient,nan, / nˈan / ,_

animal,tlan, / ƛˈan / ,_

April,loelor, / lo.ˈel.or / ,two + plant

arm,kel, / kˈel / ,_

arriving,kith, / kˈiθ / ,_

August,femthulef, / femθ.ˈul.ef / ,three + height + sun

badness,yal, / jˈal / ,_

balance,kar, / kˈar / ,_

beast,tlan, / ƛˈan / ,_

beauty,wen, / wˈen / ,_

becoming,kan, / kˈan / ,arriving + change

beginning,lon, / lˈon / ,_

behind,hul, / hˈul / ,_

being,sil, / sˈil / ,_

believing,nalh, / nˈaɬ / ,_

berry,shanin, / ʃˈan.in / ,fruit + small

big,mot, / mˈot / ,_

bind,nalor, / nˈal.or / ,joining + action

bird,rithan, / rˈiθ.an / ,air + animal

birth,lhan, / ɬˈan / ,bringing + light

blood,drik, / drˈik / ,_

bloom,med, / mˈed / ,flower + showing

blue,dor, / dˈor / ,_

blueness,dor, / dˈor / ,_

boat,sith, / sˈiθ / ,water + traveling

body,adlel, / ˈadl.el / ,_

bottom,sul, / sˈul / ,_

branch,kel, / kˈel / ,_

breath,lirith, / lˈir.iθ / ,movement + COM + air

bringing,lhog, / ɬˈog / ,_

burning,kesh, / kˈeʃ / ,_

calm,tla, / ƛˈa / ,_

calmness,tla, / ƛˈa / ,_

canoe,sith, / sˈiθ / ,water + traveling

carrying,lhog, / ɬˈog / ,_

ceasing,pal, / pˈal / ,_

center,lhel, / ɬˈel / ,_

change,kan, / kˈan / ,_

child,nadriel, / nadr.ˈi.el / ,small + person

circle,tot, / tˈot / ,_

city,shithil, / ʃˈiθ.il / ,wakefulness + place

closeness,sor, / sˈor / ,_

cold,tush, / tˈuʃ / ,_

coldness,tush, / tˈuʃ / ,_

comparison,lad, / lˈad / ,_

completeness,om, / ˈom / ,_

confession,yeolfethr, / je.ˈolf.eθr / ,truth + speech

conflict,glor, / glˈor / ,_

consumption,leth, / lˈeθ / ,_

container,lhom, / ɬˈom / ,_

council,lhun, / ɬˈun / ,thinking + joining

covering,munan, / mˈun.an / ,_

create,sil, / sˈil / ,_

created thing,sil, / sˈil / ,_

creature,tlan, / ƛˈan / ,_

curiosity,thraf, / θrˈaf / ,_

cutting,shith, / ʃˈiθ / ,_

cycle,tot, / tˈot / ,_

dance,lor, / lˈor / ,movement + action

dark,mral, / mrˈal / ,_

darkness,mral, / mrˈal / ,_

dawn,mloan, / mlˈo.an / ,first + light

day,lhom, / ɬˈom / ,_

day,tuimen, / tu.ˈim.en / ,_

daytime,tuimen, / tu.ˈim.en / ,_

death,dol, / dˈol / ,_

december 1,lirithdrem, / lir.ˈiθdr.em / ,breath + flower

december 10,liriskwil, / lir.ˈiskw.il / ,breath + movement

december 11,fedrlad, / fˈedrl.ad / ,showing + jealousy

december 12,rithaglar, / riθ.ˈagl.ar / ,air + tree

